         6966945 function calls (6911152 primitive calls) in 12.633 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   197840    0.010    0.000    0.010    0.000 {method 'popleft' of 'collections.deque' objects}
    56354    0.010    0.000    0.010    0.000 blocks.py:195(mgr_locs)
     4974    0.003    0.000    0.010    0.000 series.py:434(values)
     4976    0.008    0.000    0.010    0.000 datetimes.py:353(_simple_new)
     2341    0.002    0.000    0.009    0.000 ops.py:1787(na_op)
     2488    0.007    0.000    0.009    0.000 datetimelike.py:722(_isnan)
    15724    0.007    0.000    0.009    0.000 inference.py:438(is_hashable)
    38598    0.009    0.000    0.009    0.000 common.py:117(classes)
     2303    0.002    0.000    0.009    0.000 series.py:490(get_values)
    10442    0.006    0.000    0.009    0.000 range.py:510(__len__)
4795/4779    0.002    0.000    0.009    0.000 {all}
     4976    0.009    0.000    0.009    0.000 {method 'view' of 'numpy.generic' objects}
     2033    0.002    0.000    0.009    0.000 numeric.py:3063(__exit__)
       19    0.000    0.000    0.009    0.000 managers.py:1663(create_block_manager_from_arrays)
     3971    0.004    0.000    0.009    0.000 _dtype.py:190(_datetime_metadata_str)
     1694    0.002    0.000    0.009    0.000 {sum}
     5781    0.006    0.000    0.008    0.000 managers.py:1549(internal_values)
     1652    0.003    0.000    0.008    0.000 missing.py:360(array_equivalent)
     1814    0.002    0.000    0.008    0.000 common.py:1198(is_datetime_or_timedelta_dtype)
     1322    0.008    0.000    0.008    0.000 {pandas._libs.algos.take_2d_axis0_int32_int32}
      212    0.000    0.000    0.008    0.000 fromnumeric.py:1583(ravel)
     2341    0.008    0.000    0.008    0.000 {operator.and_}
     2303    0.004    0.000    0.007    0.000 managers.py:1556(get_values)
     9385    0.004    0.000    0.007    0.000 managers.py:376(<dictcomp>)
    16569    0.007    0.000    0.007    0.000 series.py:382(_set_subtyp)
     2473    0.004    0.000    0.007    0.000 dtypes.py:929(construct_from_string)
     4066    0.007    0.000    0.007    0.000 numeric.py:2758(geterr)
    27826    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     2357    0.004    0.000    0.007    0.000 ops.py:66(_maybe_match_name)
     9242    0.005    0.000    0.007    0.000 managers.py:308(<genexpr>)
     3289    0.002    0.000    0.007    0.000 managers.py:927(_consolidate_inplace)
     2488    0.005    0.000    0.007    0.000 datetimelike.py:1537(maybe_infer_freq)
     4974    0.004    0.000    0.007    0.000 managers.py:1546(external_values)
     9373    0.003    0.000    0.007    0.000 inference.py:406(<genexpr>)
        2    0.000    0.000    0.006    0.003 concat.py:237(__init__)
     1790    0.002    0.000    0.006    0.000 common.py:923(is_signed_integer_dtype)
     5050    0.004    0.000    0.006    0.000 base.py:3608(values)
       19    0.001    0.000    0.006    0.000 managers.py:1696(form_blocks)
        4    0.000    0.000    0.006    0.002 construction.py:484(_convert_object_array)
       32    0.000    0.000    0.006    0.000 construction.py:495(convert)
     9401    0.005    0.000    0.006    0.000 _validators.py:221(validate_bool_kwarg)
     4976    0.003    0.000    0.006    0.000 datetimelike.py:351(asi8)
     1620    0.003    0.000    0.006    0.000 generic.py:1814(__hash__)
       19    0.000    0.000    0.006    0.000 construction.py:254(_homogenize)
     3304    0.002    0.000    0.006    0.000 base.py:3663(get_values)
     1626    0.001    0.000    0.006    0.000 series.py:591(__len__)
       13    0.000    0.000    0.006    0.000 series.py:3947(isin)
     6038    0.005    0.000    0.005    0.000 base.py:613(is_)
     8171    0.003    0.000    0.005    0.000 common.py:127(<lambda>)
     1588    0.003    0.000    0.005    0.000 generic.py:3175(_set_is_copy)
       30    0.000    0.000    0.005    0.000 generic.py:5140(_consolidate)
     2488    0.005    0.000    0.005    0.000 {pandas._libs.tslibs.conversion.pydt_to_i8}
     1940    0.002    0.000    0.005    0.000 base.py:2650(get_loc)
     1719    0.003    0.000    0.005    0.000 base.py:547(_get_attributes_dict)
        1    0.000    0.000    0.005    0.005 ssl.py:407(load_default_certs)
        2    0.000    0.000    0.005    0.002 frame.py:4605(drop_duplicates)
       58    0.000    0.000    0.005    0.000 pool.py:979(get_socket)
        2    0.000    0.000    0.005    0.002 ssl.py:393(_load_windows_store_certs)
        1    0.000    0.000    0.005    0.005 frame.py:6858(merge)
        1    0.000    0.000    0.005    0.005 merge.py:37(merge)
     7985    0.004    0.000    0.005    0.000 common.py:316(apply_if_callable)
     1626    0.002    0.000    0.004    0.000 generic.py:381(_get_block_manager_axis)
      277    0.003    0.000    0.004    0.000 arraysetops.py:299(_unique1d)
      827    0.001    0.000    0.004    0.000 numeric.py:203(_convert_scalar_indexer)
     2411    0.002    0.000    0.004    0.000 sparse.py:196(construct_from_string)
     1264    0.002    0.000    0.004    0.000 range.py:330(equals)
        1    0.000    0.000    0.004    0.004 frame.py:4456(dropna)
     1902    0.002    0.000    0.004    0.000 common.py:1167(is_timedelta64_ns_dtype)
     1130    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.generic' objects}
     2425    0.002    0.000    0.004    0.000 common.py:1118(is_datetime64_ns_dtype)
       13    0.000    0.000    0.004    0.000 algorithms.py:370(isin)
       36    0.004    0.000    0.004    0.000 {pandas._libs.lib.maybe_convert_objects}
        2    0.000    0.000    0.004    0.002 concat.py:383(get_result)
     2488    0.001    0.000    0.004    0.000 datetimelike.py:663(maybe_unwrap_index)
    33/29    0.000    0.000    0.004    0.000 contextlib.py:15(__enter__)
     2429    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.004    0.002 mongo_client.py:84(__init__)
        3    0.002    0.001    0.004    0.001 {pandas._libs.lib.fast_unique_multiple_list_gen}
        3    0.004    0.001    0.004    0.001 {pandas._libs.lib.dicts_to_array}
     1646    0.002    0.000    0.004    0.000 managers.py:291(__len__)
        5    0.000    0.000    0.004    0.001 threading.py:309(wait)
     1662    0.002    0.000    0.004    0.000 indexing.py:2450(convert_to_index_sliceable)
     4684    0.003    0.000    0.004    0.000 inspect.py:59(isclass)
     9351    0.003    0.000    0.004    0.000 managers.py:143(ndim)
        2    0.000    0.000    0.004    0.002 frame.py:4639(duplicated)
       38    0.000    0.000    0.003    0.000 algorithms.py:38(_ensure_data)
       29    0.000    0.000    0.003    0.000 pool.py:1016(_get_socket_no_auth)
        1    0.000    0.000    0.003    0.003 merge.py:541(get_result)
        2    0.003    0.002    0.003    0.002 {_ssl.enum_certificates}
     1768    0.001    0.000    0.003    0.000 numpy_.py:170(__array__)
       18    0.000    0.000    0.003    0.000 mongo_client.py:1555(_ensure_session)
       18    0.000    0.000    0.003    0.000 mongo_client.py:1506(__start_session)
       44    0.000    0.000    0.003    0.000 frame.py:3565(_sanitize_column)
     1981    0.003    0.000    0.003    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      943    0.002    0.000    0.003    0.000 base.py:3940(__getitem__)
    12867    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.003    0.003 frame.py:7240(count)
     1490    0.002    0.000    0.003    0.000 cast.py:1218(construct_1d_ndarray_preserving_na)
      878    0.002    0.000    0.003    0.000 generic.py:3070(_set_as_cached)
     1627    0.002    0.000    0.003    0.000 generic.py:144(_init_mgr)
    15687    0.003    0.000    0.003    0.000 series.py:338(_constructor)
    16610    0.003    0.000    0.003    0.000 numeric.py:113(is_all_dates)
      131    0.002    0.000    0.003    0.000 {pandas._libs.lib.infer_dtype}
      284    0.003    0.000    0.003    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
       30    0.000    0.000    0.003    0.000 topology.py:188(_select_servers_loop)
       18    0.000    0.000    0.003    0.000 mongo_client.py:1547(_get_server_session)
       16    0.000    0.000    0.003    0.000 managers.py:1887(_consolidate)
       18    0.000    0.000    0.003    0.000 topology.py:416(get_server_session)
        2    0.000    0.000    0.003    0.001 pool.py:958(connect)
     4928    0.002    0.000    0.003    0.000 managers.py:591(is_consolidated)
      828    0.001    0.000    0.003    0.000 base.py:2849(_convert_scalar_indexer)
     2033    0.003    0.000    0.003    0.000 numeric.py:3054(__init__)
     1625    0.003    0.000    0.003    0.000 {method 'take' of 'numpy.ndarray' objects}
     4280    0.003    0.000    0.003    0.000 base.py:633(_reset_identity)
     2303    0.002    0.000    0.003    0.000 blocks.py:184(to_dense)
     7530    0.002    0.000    0.003    0.000 {pandas._libs.algos.ensure_int64}
        2    0.000    0.000    0.003    0.001 managers.py:2029(concatenate_block_managers)
     1667    0.003    0.000    0.003    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     4827    0.003    0.000    0.003    0.000 {pandas._libs.missing.checknull}
       63    0.000    0.000    0.002    0.000 periodic_executor.py:53(open)
     4066    0.002    0.000    0.002    0.000 {numpy.seterrobj}
    18764    0.002    0.000    0.002    0.000 managers.py:1578(_consolidate_inplace)
    10464    0.002    0.000    0.002    0.000 {max}
       23    0.000    0.000    0.002    0.000 managers.py:1796(_simple_blockify)
        4    0.000    0.000    0.002    0.001 pool.py:504(command)
   185/22    0.001    0.000    0.002    0.000 abc.py:148(__subclasscheck__)
        4    0.000    0.000    0.002    0.001 network.py:52(command)
     1604    0.002    0.000    0.002    0.000 blocks.py:2099(_maybe_coerce_values)
     9382    0.002    0.000    0.002    0.000 managers.py:1513(index)
        3    0.000    0.000    0.002    0.001 frame.py:4203(reset_index)
       31    0.000    0.000    0.002    0.000 topology.py:132(open)
     1233    0.001    0.000    0.002    0.000 frame.py:937(__len__)
       62    0.000    0.000    0.002    0.000 cast.py:846(maybe_infer_to_datetimelike)
       32    0.000    0.000    0.002    0.000 topology.py:460(_ensure_opened)
       18    0.000    0.000    0.002    0.000 message.py:305(get_message)
      309    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
